Anio,Viajes
2010-02,1057
2010-03,21024
2010-04,44984
2010-05,59814
2010-06,64704
2010-07,58767
2010-08,82329
2010-09,100164
2010-10,132294
2010-11,134082
2010-12,141860
2011-01,194027
2011-02,213473
2011-03,263132
2011-04,226501
2011-05,238118
2011-06,220447
2011-07,188102
2011-08,212463
2011-09,207894
2011-10,200880
2011-11,198242
2011-12,179684
2012-01,192272
2012-02,186300
2012-03,205314
2012-04,187942
2012-05,224724
2012-06,197067
2012-07,194235
2012-08,194763
2012-09,210666
2012-10,309075
2012-11,320525
2012-12,315034
2013-01,408485
2013-02,187432
2013-03,133978
2013-04,492941
2013-05,551523
2013-06,524172
2013-07,576508
2013-08,615971
2013-09,574001
2013-10,713401
2013-11,656292
2013-12,580750
2014-01,664949
2014-02,691331
2014-03,746663
2014-04,643804
2014-05,668849
2014-06,598810
2014-07,662974
2014-08,662569
2014-09,647559
2014-10,730198
2014-11,666752
2014-12,567749
2015-01,625195
2015-02,656908
2015-03,816940
2015-04,812274
2015-05,759845
2015-06,810233
2015-07,806911
2015-08,805530
2015-09,769270
2015-10,870549
2015-11,795614
2015-12,662807
2016-01,679332
2016-02,708755
2016-03,713794
2016-04,817737
2016-05,823174
2016-06,789245
2016-07,714416
2016-08,781044
2016-09,768680
2016-10,840057
2016-11,744652
2016-12,688657
2017-01,810626
2017-02,794435
2017-03,878358
2017-04,705426
2017-05,872398
2017-06,853650
2017-07,773366
2017-08,843539
2017-09,710021
2017-10,828999
2017-11,796624
2017-12,630602
2018-01,686292
2018-02,694145
2018-03,737225
2018-04,756432
2018-05,798074
2018-06,690121
2018-07,718607
2018-08,732936
2018-09,701049
2018-10,784290
2018-11,675140
2018-12,565897
2019-01,697289
2019-02,684077
2019-03,752299
2019-04,690003
2019-05,750910
2019-06,695715
2019-07,703273
2019-08,748705
2019-09,673820
2019-10,740999
2019-11,694171
2019-12,584185
2020-01,676908
2020-02,686327
2020-03,529077
2020-04,159780
2020-05,153147
